instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,RSI
TINNA RUBBER AND INFR LTD,NSE_EQ|INE015C01016,Monthly,2025-09-01,801.65,989.8,799.05,918.95,770101.0,0.0,
CELEBRITY FASHIONS LTD,NSE_EQ|INE185H01016,Monthly,2025-09-01,12.41,13.25,11.91,12.4,944650.0,0.0,36.0
HI-TECH PIPES LIMITED,NSE_EQ|INE106T01025,Monthly,2025-09-01,86.0,127.5,86.0,122.59,82049967.0,0.0,42.41427673260144
HMA AGRO INDUSTRIES LTD,NSE_EQ|INE0ECP01024,Monthly,2025-09-01,30.01,33.7,29.56,33.01,3240130.0,0.0,26.51567147105925
CENTRAL DEPO SER (I) LTD,NSE_EQ|INE736A01011,Monthly,2025-09-01,1431.5,1625.0,1431.3,1558.5,27358253.0,0.0,56.55219400029807
BIRLA CORPORATION LTD,NSE_EQ|INE340A01012,Monthly,2025-09-01,1250.0,1335.7,1250.0,1301.9,1152604.0,0.0,41.239414934565055
TCPL PACKAGING LIMITED,NSE_EQ|INE822C01015,Monthly,2025-09-01,3379.3,3474.0,3340.0,3406.6,50198.0,0.0,54.23619697728364
PFIZER LTD,NSE_EQ|INE182A01018,Monthly,2025-09-01,5200.0,5292.0,5050.0,5066.5,258769.0,0.0,44.37036323345216
MASTEK LTD,NSE_EQ|INE759A01021,Monthly,2025-09-01,2427.4,2614.0,2340.0,2348.0,1782718.0,0.0,40.5957331053511
DOLLAR INDUSTRIES LIMITED,NSE_EQ|INE325C01035,Monthly,2025-09-01,356.2,391.8,352.8,373.55,1346474.0,0.0,21.611042439225386
BLUESTONE JEWEL LFSTL LTD,NSE_EQ|INE304W01038,Monthly,2025-09-01,534.8,707.8,530.0,600.9,21977318.0,0.0,
IDFC FIRST BANK LIMITED,NSE_EQ|INE092T01019,Monthly,2025-09-01,68.0,73.99,67.57,70.92,268243873.0,0.0,44.70882905447715
EMAMI PAPER MILLS LIMITED,NSE_EQ|INE830C01026,Monthly,2025-09-01,102.2,114.8,101.0,102.03,937725.0,0.0,30.566406250000014
DCM NOUVELLE LIMITED,NSE_EQ|INE08KP01019,Monthly,2025-09-01,163.57,173.82,154.98,164.83,390495.0,0.0,29.98006923318998
MANGAL CREDIT N FINCORP L,NSE_EQ|INE545L01039,Monthly,2025-09-01,180.1,195.0,180.0,191.35,604793.0,0.0,67.93739967897272
PITTI ENGINEERING LIMITED,NSE_EQ|INE450D01021,Monthly,2025-09-01,927.05,1030.0,861.9,1015.25,1080855.0,0.0,43.512035392064654
SHRE PUSH CHEM & FERT LTD,NSE_EQ|INE712K01011,Monthly,2025-09-01,312.0,461.0,311.0,451.9,21403744.0,0.0,67.7335609994076
S H KELKAR AND CO. LTD.,NSE_EQ|INE500L01026,Monthly,2025-09-01,249.0,275.5,244.0,248.17,5465058.0,0.0,57.532898436621295
VMART RETAIL LTD,NSE_EQ|INE665J01013,Monthly,2025-09-01,746.3,759.45,718.8,736.4,3212140.0,0.0,42.505005005005
SUDARSHAN CHEMICAL INDS L,NSE_EQ|INE659A01023,Monthly,2025-09-01,1484.6,1527.0,1362.2,1513.6,1399877.0,0.0,72.58841499236283
SREE RAYALSEEMA HHP LTD.,NSE_EQ|INE917H01012,Monthly,2025-09-01,582.0,640.0,578.0,613.55,215166.0,0.0,49.071706503613115
JINDAL PHOTO LIMITED,NSE_EQ|INE796G01012,Monthly,2025-09-01,1145.0,1265.0,1070.2,1114.3,523865.0,0.0,57.01847598807116
