instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,Trade_Type,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Days_Since_Entry
TEJAS NETWORKS LIMITED,NSE_EQ|INE010J01012,Weekly,2025-01-27,970.0,975.5,822.85,884.1,12845791.0,0.0,1117.2464203463437,1125.4681800363046,11 x 51,Death,Short,2025-01-27,884.1,,,239
JINDAL SAW LIMITED,NSE_EQ|INE324A01032,Weekly,2025-01-27,244.95,257.0,217.65,241.5,11155054.0,0.0,278.20172086395985,280.2167258026537,11 x 51,Death,Short,2025-01-27,241.5,,,239
DREDGING CORP OF INDIA,NSE_EQ|INE506A01018,Weekly,2025-01-13,785.0,785.0,711.25,758.35,126260.0,0.0,855.519423054977,863.4526211836479,11 x 51,Death,Short,2025-01-13,758.35,,,253
PARAS PETROFILS LTD.,NSE_EQ|INE162C01024,Weekly,2025-01-06,3.35,3.4,2.87,2.88,1200765.0,0.0,3.1207033410143317,3.128154285315428,11 x 51,Death,Short,2025-01-06,2.88,,,260
ELGI EQUIPMENTS LTD,NSE_EQ|INE285A01027,Weekly,2024-12-16,612.95,626.95,590.25,596.0,788451.0,0.0,624.6975364104862,626.7022001051363,11 x 51,Death,Short,2024-12-16,596.0,,,281
REDINGTON LIMITED,NSE_EQ|INE891D01026,Weekly,2024-12-02,197.6,208.44,196.51,207.72,10880467.0,0.0,193.6604453305936,192.97985986830363,11 x 51,Golden,Long,2024-12-02,207.72,,,295
KPIT TECHNOLOGIES LIMITED,NSE_EQ|INE04I401011,Weekly,2024-11-18,1350.25,1356.4,1283.25,1308.45,4656848.0,0.0,1520.121386287243,1524.9099226160142,11 x 51,Death,Short,2024-11-18,1308.45,,,309
DIAMINES & CHEMICALS LTD,NSE_EQ|INE591D01014,Weekly,2024-10-21,530.1,541.95,471.65,479.75,63359.0,0.0,540.4785428906941,545.3987786419589,11 x 51,Death,Short,2024-10-21,479.75,,,337
BARBEQUE NATION HOSP. LTD,NSE_EQ|INE382M01027,Weekly,2024-10-21,635.65,640.35,510.35,543.4,814122.0,0.0,615.1303186197049,616.658547310901,11 x 51,Death,Short,2024-10-21,543.4,,,337
ORIENT PAPER AND INDS LTD,NSE_EQ|INE592A01026,Weekly,2024-10-07,47.05,47.88,43.61,46.82,3717482.0,0.0,48.53453206049261,48.53466895536465,11 x 51,Death,Short,2024-10-07,46.82,,,351
REVATHI EQUIPMENT INDIA L,NSE_EQ|INE0DAB01012,Weekly,2024-09-30,3223.0,3325.0,2416.0,2438.3,122178.0,0.0,3112.9712962962963,3180.4296085571236,11 x 51,Death,Short,2024-09-30,2438.3,,,358
BIRLASLAMC - GSEC10ABSL,NSE_EQ|INF209KC1142,Weekly,2024-09-09,100.91,101.53,100.48,101.53,626.0,0.0,100.87143518518518,100.81474908966774,11 x 51,Golden,Long,2024-09-09,101.53,,,379
R K SWAMY LIMITED,NSE_EQ|INE0NQ801033,Weekly,2024-08-19,255.75,272.45,252.35,262.95,715110.0,0.0,276.62739974503484,277.5399339149703,11 x 51,Death,Short,2024-08-19,262.95,,,400
BRAINBEES SOLUTIONS LTD,NSE_EQ|INE02RE01045,Weekly,2024-08-19,674.0,704.0,621.9,638.65,11414534.0,0.0,664.6916666666666,668.6980769230769,11 x 51,Death,Short,2024-08-19,638.65,,,400
WEST COAST PAPER MILLS LT,NSE_EQ|INE976A01021,Weekly,2024-08-12,589.7,595.75,570.15,587.7,538488.0,0.0,632.3311190588363,634.6858029870041,11 x 51,Death,Short,2024-08-12,587.7,,,407
DEEPAK FERTILIZERS & PETR,NSE_EQ|INE501A01019,Weekly,2024-06-24,662.0,713.75,647.4,677.2,10931539.0,0.0,601.6883565150656,593.996114216591,11 x 51,Golden,Long,2024-06-24,677.2,,,456
BFAM - LIQUIDBETF,NSE_EQ|INF0QA701854,Weekly,2024-06-10,1000.0,1017.98,997.85,1000.0,462974.0,0.0,999.9916666666667,999.9903846153846,11 x 51,Golden,Long,2024-06-10,1000.0,,,470
SUN PHARMA ADV.RES.CO.LTD,NSE_EQ|INE232I01014,Weekly,2024-05-21,220.8,223.65,208.0,223.65,2801146.0,0.0,284.4999375697302,287.7453510837698,11 x 51,Death,Short,2024-05-21,223.65,,,490
PASHUPATI COTSPIN LIMITED,NSE_EQ|INE124Y01010,Weekly,2024-05-06,100.1,186.55,96.55,180.85,423200.0,0.0,117.11254563332324,111.3638072235824,11 x 51,Golden,Long,2024-05-06,180.85,,,505
VAIBHAV GLOBAL LIMITED,NSE_EQ|INE884A01027,Weekly,2024-04-15,350.15,388.4,350.15,375.55,2108165.0,0.0,398.9404743243239,399.7478424662047,11 x 51,Death,Short,2024-04-15,375.55,,,526
PC JEWELLER LTD,NSE_EQ|INE785M01021,Weekly,2023-12-26,5.13,5.18,4.19,4.67,587706410.0,0.0,3.573801460774435,3.518904766518581,11 x 51,Golden,Long,2023-12-26,4.67,,,637
EXXARO TILES LIMITED,NSE_EQ|INE0GFE01026,Weekly,2023-12-18,11.76,12.09,11.37,11.48,6473270.0,0.0,12.238547767527058,12.325654244112595,11 x 51,Death,Short,2023-12-18,11.48,,,645
BSE LIMITED,NSE_EQ|INE118H01025,Weekly,2023-06-26,203.5,208.0,196.5,203.0,16722460.0,0.0,184.5122937256824,182.95448652730818,11 x 51,Golden,Long,2023-06-26,203.0,,,820
NIPPONAMC - NETFPHARMA,NSE_EQ|INF204KC1089,Weekly,2023-06-12,13.15,13.55,12.95,13.38,10838957.0,0.0,12.784463895687066,12.782379546953756,11 x 51,Golden,Long,2023-06-12,13.38,,,834
SHYAM METALICS AND ENGY L,NSE_EQ|INE810G01011,Weekly,2023-06-12,322.95,348.65,316.55,340.3,4154231.0,0.0,305.5601900184088,303.026244583978,11 x 51,Golden,Long,2023-06-12,340.3,,,834
SHAKTI PUMPS (I) LTD,NSE_EQ|INE908D01010,Weekly,2023-05-29,85.35,94.5,85.35,91.25,2268567.0,0.0,78.77001743873198,77.52228778606508,11 x 51,Golden,Long,2023-05-29,91.25,,,848
AARTI PHARMALABS LIMITED,NSE_EQ|INE0LRU01027,Weekly,2023-01-30,299.9,314.85,234.8,259.5,2703156.0,0.0,259.5,259.42341971104787,11 x 51,Golden,Long,2023-01-30,259.5,,,967
ICICIPRAMC - ICICI5GSEC,NSE_EQ|INF109KC14A8,Weekly,2022-12-12,51.5,51.5,50.0,51.24,22093.0,0.0,50.459317860510026,50.34089081979056,11 x 51,Golden,Long,2022-12-12,51.24,,,1016
TARSONS PRODUCTS LIMITED,NSE_EQ|INE144Z01023,Weekly,2022-11-21,690.05,723.45,682.0,692.5,535404.0,0.0,752.8623986264435,756.9001607801479,11 x 51,Death,Short,2022-11-21,692.5,,,1037
NEULAND LAB LTD.,NSE_EQ|INE794A01010,Weekly,2022-10-17,1519.9,1593.0,1462.2,1497.7,191821.0,0.0,1360.1350292198003,1339.2733763519389,11 x 51,Golden,Long,2022-10-17,1497.7,,,1072
MIRAEAMC - MAFSETF,NSE_EQ|INF769K01HI8,Weekly,2022-08-16,18.75,18.79,18.17,18.26,7065807.0,0.0,17.126864199101856,17.068239859657886,11 x 51,Golden,Long,2022-08-16,18.26,,,1134
AXISAMC - AXISBPSETF,NSE_EQ|INF846K01Z04,Weekly,2022-08-01,10.4,10.47,10.38,10.41,786704.0,0.0,10.354774830557153,10.352952507526576,11 x 51,Golden,Long,2022-08-01,10.41,,,1149
RELCAPAMC - NETFGILT5Y,NSE_EQ|INF204KC1030,Weekly,2022-07-25,49.05,49.75,49.05,49.45,379194.0,0.0,49.00932510503552,48.945565258873465,11 x 51,Golden,Long,2022-07-25,49.45,,,1156
